Agency Name,State Name,Locale
ACCELERATED LEARNING CENTER INC. (4297),Arizona,11-City: Large
ACCELERATION DAY AND EVENING ACADEMY,ALABAMA,12-City: Mid-size
ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,21-Suburb: Large
ACCLAIM CHARTER SCHOOL (4325),Arizona,11-City: Large
ACCOMACK CO PBLC SCHS,Virginia,43-Rural: Remote
ACE ACADEMY (SDA),Michigan,21-Suburb: Large
ACE CHARTER HIGH DISTRICT,CALIFORNIA,11-City: Large
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,11-City: Large
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,11-City: Large
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,11-City: Large
ACE PREPARATORY ACADEMY,INDIANA,11-City: Large
ACES TECHNICAL CHARTER SCHOOL,NEW MEXICO,11-City: Large
ACHIEVE ACADEMY DISTRICT,CALIFORNIA,11-City: Large
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,11-City: Large
ACHIEVE CHARTER ACADEMY,Michigan,41-Rural: Fringe
ACHIEVE CHARTER HIGH DISTRICT,CALIFORNIA,12-City: Mid-size
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,12-City: Mid-size
ACHIEVE COMMUNITY CHARTER SCHOOL,NEW JERSEY,11-City: Large
ACHIEVE LANGUAGE ACADEMY,Minnesota,11-City: Large
ACHIEVEMENT CHARTER ACADEMY,NORTH CAROLINA,41-Rural: Fringe
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,11-City: Large
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,11-City: Large
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,12-City: Mid-size
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,11-City: Large
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,11-City: Large
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,11-City: Large
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,11-City: Large
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,12-City: Mid-size
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,11-City: Large
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,11-City: Large
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,12-City: Mid-size
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,11-City: Large
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,11-City: Large
ACHIEVEMENT HOUSE CS,Pennsylvania,21-Suburb: Large
